Name,Type,Price,Images_url
Oranges,fruits,₹30,https://media.istockphoto.com/id/185284489/photo/orange.jpg?s=612x612&w=0&k=20&c=m4EXknC74i2aYWCbjxbzZ6EtRaJkdSJNtekh4m1PspE=
Apples,fruits,₹30,https://media.istockphoto.com/id/184276818/photo/red-apple.jpg?s=612x612&w=0&k=20&c=NvO-bLsG0DJ_7Ii8SSVoKLurzjmV0Qi4eGfn6nW3l5w=
Bananas,fruits,₹30,https://media.istockphoto.com/id/120492078/photo/banana.jpg?s=1024x1024&w=is&k=20&c=M9KLVNgqLft_btWgSu0iZAmdv2asI11Qel-6fsQK140=
Lettuce,vegetables,₹20,https://media.istockphoto.com/id/1387420863/photo/top-view-of-fresh-butterhead-lettuce-isolated.jpg?s=612x612&w=0&k=20&c=Pz7Lkz6KVnW9q9wgA4oKbLu4jl0hm8EtKlrxgun860M=
Tomatoes,vegetables,₹30,https://media.istockphoto.com/id/466175630/photo/tomato-isolated-on-white-background.jpg?s=612x612&w=0&k=20&c=ELzCVzaiRMgiO7A5zQLkuws0N_lvPxrgJWPn7C7BXz0=
Milk ,Dairy,₹65,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Oat_milk_glass_and_bottles.jpg/640px-Oat_milk_glass_and_bottles.jpg
Cheese,Dairy,₹80,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/healthiest-cheese-1296x728-swiss.jpg?w=1155&h=1528
Parle-G,busicuits,₹10,"https://m.media-amazon.com/images/I/71bufOt9zAL._AC_UF1000,1000_QL80_.jpg"
Cottage cheese,Dairy,₹120,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Cottagecheese200px.jpg/1200px-Cottagecheese200px.jpg
mozrella cheese,Dairy,₹150,https:/₹/4.imimg.com/data4/DJ/IA/MY-1442638/go-shredded-mozzarella-2kg.jpg
lays,snacks,₹20,https://www.bigbasket.com/media/uploads/p/xxl/102745_13-lays-potato-chips-american-style-cream-onion-flavour.jpg
corn,vegetables,₹30,https://www.shutterstock.com/image-photo/single-ear-corn-isolated-on-260nw-793795156.jpg
Pepsi,Drinks,₹20,https://www.bigbasket.com/media/uploads/p/xxl/40094179-10_2-pepsi-soft-drink.jpg
RedBull,Drinks,₹20,https://m.media-amazon.com/images/I/51VRzH-kQ+L.jpg
Tea,Drinks,₹100,https://5.imimg.com/data5/XT/RH/NF/SELLER-9371693/1.jpg
Water,Drinks,₹10,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.health.harvard.edu%2Fstaying-healthy%2Fhow-much-water-should-you-drink&psig=AOvVaw0rJBhfGj_B85UW8DQrO-3M&ust=1711965601751000&source=images&cd=vfe&opi=89978449&ved=0CBIQjRxqFwoTCMjzxv6enoUDFQAAAAAdAAAAABAE
Noodles,Pasta,₹40,https://shwetainthekitchen.com/wp-content/uploads/2023/03/vegetable-noodles.jpg
cococola,Drinks,₹50,https://www.coca-cola.com/content/dam/onexp/us/en/brands/coca-cola-multi-brand/coke-category-logos/v2/coca-cola.jpg
Monster Energy,Drinks,₹60,https://5.imimg.com/data5/SELLER/Default/2023/11/358677641/VZ/GF/YL/191746956/monster-energy-cold-drink.jpg
bingo ,snacks,₹10,https://fetchnbuy.in/cdn/shop/products/40100618_7-bingo-potato-chips-original-style-salt-sprinkled_grande.jpg?v=1637485484
Bread,Bakery,₹30,https://www.bhg.com/thmb/ov2S31znAvSCXqrpgJQ8rwBgzp8=/2250x0/filters:no_upscale():strip_icc()/BHG-milk-bread-4CdeIL1uKGyB5ryU8J_EED-aaa76729c86a413ca7500029edba79f0.jpg
Potato chips,Snacks,₹60,https://india.neelamfoodland.in/cdn/shop/products/IMG_3641_800x.jpg?v=1698400307
Too Yumm,Snacks,₹40,"https://m.media-amazon.com/images/I/71NIHBImUsL._AC_UF1000,1000_QL80_.jpg"
Garlic,vegetables,₹30,https://media.istockphoto.com/id/1340230644/photo/closeup-of-garlic-bulbs-on-wooden-table-with-garlics-blur-background-a-set-of-fresh-garlic-on.jpg?s=612x612&w=0&k=20&c=ViGupj8zL6dDwWKe79V5R2J_NyUqIMLpHduY1e58LGM=
carrot,vegetables,₹40,https://blog-images-1.pharmeasy.in/blog/production/wp-content/uploads/2021/04/23175719/shutterstock_440493100-1.jpg
cucumber,vegetables,₹20,https://www.shutterstock.com/image-photo/cucumber-slices-isolated-over-white-600nw-26951737.jpg
EggPlant,Vegetables,₹30,https://www.shutterstock.com/image-photo/aubergine-eggplant-isolated-on-white-600w-1418511650.jpg
spinach,vegetables,₹15,https://dukaan.b-cdn.net/1000x1000/webp/upload_file_service/6e430cde-3fce-46df-9f88-edbe32365237/spinach-1.png
Brocolli,vegetables,₹40,https://cdn.britannica.com/25/78225-050-1781F6B7/broccoli-florets.jpg
